ダウンロードした時刻：2021/10/27 23:34:03,,,
,,,
,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2021/7/26,27.5,8,1
2021/7/27,24.9,8,1
2021/7/28,27.7,8,1
2021/7/29,27.8,8,1
2021/7/30,25.8,8,1
2021/7/31,27.5,8,1
2021/8/1,28.7,8,1
2021/8/2,28.6,8,1
2021/8/3,29,8,1
2021/8/4,29.5,8,1
2021/8/5,29.1,8,1
2021/8/6,29.1,8,1
2021/8/7,27.9,8,1
2021/8/8,25.9,8,1
2021/8/9,28.1,8,1
2021/8/10,31,8,1
2021/8/11,29.2,8,1
2021/8/12,26,8,1
2021/8/13,22.5,8,1
2021/8/14,22.3,8,1
2021/8/15,19.3,8,1
2021/8/16,20.7,8,1
2021/8/17,23.7,8,1
2021/8/18,27,8,1
2021/8/19,28.5,8,1
2021/8/20,28.7,8,1
2021/8/21,27.9,8,1
2021/8/22,28.5,8,1
2021/8/23,26.9,8,1
2021/8/24,27.5,8,1
2021/8/25,29.4,8,1
2021/8/26,30.5,8,1
2021/8/27,30,8,1
2021/8/28,29.8,8,1
2021/8/29,28.5,8,1
2021/8/30,29.2,8,1
2021/8/31,26.9,8,1
2021/9/1,20.7,8,1
2021/9/2,19.4,8,1
2021/9/3,19.7,8,1
2021/9/4,20.6,8,1
2021/9/5,21,8,1
2021/9/6,19.9,8,1
2021/9/7,20.4,8,1
2021/9/8,20.3,8,1
2021/9/9,20.5,8,1
2021/9/10,24.8,8,1
2021/9/11,25,8,1
2021/9/12,24.4,8,1
2021/9/13,25.2,8,1
2021/9/14,22.8,8,1
2021/9/15,22.9,8,1
2021/9/16,22.3,8,1
2021/9/17,22.3,8,1
2021/9/18,23.7,8,1
2021/9/19,23.9,8,1
2021/9/20,22.4,8,1
2021/9/21,22.7,8,1
2021/9/22,24.9,8,1
2021/9/23,26.6,8,1
2021/9/24,25.4,8,1
2021/9/25,22.1,8,1
2021/9/26,19.9,8,1
2021/9/27,20.1,8,1
2021/9/28,21.1,8,1
2021/9/29,21.9,8,1
2021/9/30,23.2,8,1
2021/10/1,19,8,1
2021/10/2,21.9,8,1
2021/10/3,22.1,8,1
2021/10/4,23.5,8,1
2021/10/5,23.9,8,1
2021/10/6,22.8,8,1
2021/10/7,21.3,8,1
2021/10/8,24.2,8,1
2021/10/9,22.7,8,1
2021/10/10,22.2,8,1
2021/10/11,24,8,1
2021/10/12,20.5,8,1
2021/10/13,17.4,8,1
2021/10/14,19.1,8,1
2021/10/15,20.7,8,1
2021/10/16,21,8,1
2021/10/17,15.7,8,1
2021/10/18,13.6,8,1
2021/10/19,13.5,8,1
2021/10/20,16.1,8,1
2021/10/21,15.4,8,1
2021/10/22,11.2,8,1
2021/10/23,13.6,8,1
2021/10/24,13.4,8,1
2021/10/25,14,8,1
